Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
HSCL,Himadri Speciality Chemical Limited,"13,32,219.69"
DCMSHRIRAM,DCM Shriram Limited,"13,32,137.06"
ASTRAZEN,AstraZeneca Pharma India Limited,"13,32,112.50"
ZEEL,Zee Entertainment Enterprises Limited,"13,30,799.66"
BEML,BEML Limited,"13,25,835.95"
HFCL,HFCL Limited,"13,20,793.44"
RAINBOW,Rainbow Childrens Medicare Limited,"13,17,035.14"
ABSLAMC,Aditya Birla Sun Life AMC Limited,"13,10,809.08"
HONASA,Honasa Consumer Limited,"13,04,758.49"
ASAHIINDIA,Asahi India Glass Limited,"13,03,812.84"
PVRINOX,PVR INOX Limited,"13,01,508.09"
ARE&M,Amara Raja Energy & Mobility Limited,"12,98,858.25"
IIFL,IIFL Finance Limited,"12,97,646.23"
BLS,BLS International Services Limited,"12,88,131.43"
ALOKINDS,Alok Industries Limited,"12,83,514.64"
VTL,Vardhman Textiles Limited,"12,79,020.14"
GRINFRA,G R Infraprojects Limited,"12,64,885.63"
HBLPOWER,HBL Power Systems Limited,"12,58,465.05"
WESTLIFE,WESTLIFE FOODWORLD LIMITED,"12,54,428.48"
RKFORGE,Ramkrishna Forgings Limited,"12,49,615.34"
KIRLOSENG,Kirloskar Oil Engines Limited,"12,45,822.67"
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"12,37,651.93"
FINEORG,Fine Organic Industries Limited,"12,37,084.04"
AMBER,Amber Enterprises India Limited,"12,32,415.60"
BIKAJI,Bikaji Foods International Limited,"12,27,999.40"
SWSOLAR,Sterling and Wilson Renewable Energy Limited,"12,19,488.06"
RAYMOND,Raymond Limited,"12,03,852.78"
IEX,Indian Energy Exchange Limited,"11,97,989.19"
SPARC,Sun Pharma Advanced Research Company Limited,"11,95,131.87"
GRAPHITE,Graphite India Limited,"11,79,189.40"
SPLPETRO,Supreme Petrochem Limited,"11,74,224.16"
RAILTEL,Railtel Corporation Of India Limited,"11,67,413.46"
INGERRAND,Ingersoll Rand (India) Limited,"11,61,812.89"
ECLERX,eClerx Services Limited,"11,60,577.35"
JUNIPER,Juniper Hotels Limited,"11,51,561.09"
ERIS,Eris Lifesciences Limited,"11,47,194.50"
RHIM,RHI MAGNESITA INDIA LIMITED,"11,41,230.13"
ENGINERSIN,Engineers India Limited,"11,35,044.57"
MAHSEAMLES,Maharashtra Seamless Limited,"11,33,834.67"
HAPPSTMNDS,Happiest Minds Technologies Limited,"11,33,533.69"
JKTYRE,JK Tyre & Industries Limited,"11,26,456.44"
TEJASNET,Tejas Networks Limited,"11,20,377.87"
PNCINFRA,PNC Infratech Limited,"11,19,408.65"
NEWGEN,Newgen Software Technologies Limited,"11,14,383.75"
INOXINDIA,INOX India Limited,"11,09,719.93"
TANLA,Tanla Platforms Limited,"11,02,167.47"
BIRLACORPN,Birla Corporation Limited,"10,96,325.13"
BBTC,Bombay Burmah Trading Corporation Limited,"10,93,848.96"
GMDCLTD,Gujarat Mineral Development Corporation Limited,"10,93,761.00"
NUVOCO,Nuvoco Vistas Corporation Limited,"10,93,612.14"
AKZOINDIA,Akzo Nobel India Limited,"10,85,999.87"
CEATLTD,CEAT Limited,"10,85,033.27"
RPOWER,Reliance Power Limited,"10,76,659.19"
RELINFRA,Reliance Infrastructure Limited,"10,73,317.47"
GPIL,Godawari Power And Ispat limited,"10,67,376.39"
ELECON,Elecon Engineering Company Limited,"10,64,497.17"
ANANTRAJ,Anant Raj Limited,"10,61,666.84"
ELECTCAST,Electrosteel Castings Limited,"10,59,586.55"
DBREALTY,D B Realty Limited,"10,55,949.44"
EQUITASBNK,Equitas Small Finance Bank Limited,"10,50,338.18"
KFINTECH,Kfin Technologies Limited,"10,48,565.58"
BAJAJELEC,Bajaj Electricals Limited,"10,45,577.20"
LATENTVIEW,Latent View Analytics Limited,"10,45,477.31"
JPPOWER,Jaiprakash Power Ventures Limited,"10,45,152.47"
GRANULES,Granules India Limited,"10,42,549.03"
AAVAS,Aavas Financiers Limited,"10,41,201.53"
AETHER,Aether Industries Limited,"10,35,217.63"
UTIAMC,UTI Asset Management Company Limited,"10,34,577.54"
LEMONTREE,Lemon Tree Hotels Limited,"10,34,277.76"
JKLAKSHMI,JK Lakshmi Cement Limited,"10,30,436.77"
GPPL,Gujarat Pipavav Port Limited,"10,27,551.53"
SFL,Sheela Foam Limited,"10,25,776.81"
PCBL,PCBL LIMITED,"10,10,467.39"
MAPMYINDIA,C.E. Info Systems Limited,"10,07,847.75"
ROUTE,ROUTE MOBILE LIMITED,"10,06,029.25"
CANFINHOME,Can Fin Homes Limited,"10,02,583.98"
CUB,City Union Bank Limited,"10,01,018.08"
SAPPHIRE,Sapphire Foods India Limited,"9,99,490.43"
CAPLIPOINT,Caplin Point Laboratories Limited,"9,98,899.76"
MINDACORP,Minda Corporation Limited,"9,98,634.77"
MMTC,MMTC Limited,"9,96,750.00"
PTCIL,PTC Industries Limited,"9,95,631.98"
IFCI,IFCI Limited,"9,87,131.90"
PRAJIND,Praj Industries Limited,"9,79,631.85"
VOLTAMP,Voltamp Transformers Limited,"9,78,421.62"
SCI,Shipping Corporation Of India Limited,"9,72,588.33"
USHAMART,Usha Martin Limited,"9,69,840.71"
EIDPARRY,EID Parry India Limited,"9,68,713.49"
RTNINDIA,RattanIndia Enterprises Limited,"9,56,530.56"
ANURAS,Anupam Rasayan India Limited,"9,55,631.33"
